timesteps,balance,equity,position
1000,10466.214609411209,10496.074415779318,1
2000,9283.867958658238,9187.842154221946,-1
3000,9798.556042060181,9792.607021383723,1
4000,9999.9,10090.43001325214,1
5000,10727.267855034328,10861.53246453896,-1
6000,10812.87220354991,10702.797589197024,1
7000,12938.849407414444,12928.91638254414,-1
8000,20599.670443751802,20593.4423777434,-1
9000,22394.98739836625,22394.98739836625,0
10000,33793.169441148646,33673.94670579826,-1
11000,36144.3722872459,36055.71325155938,1
12000,24138.92725663485,25315.342571822468,-1
13000,55982.786867593946,55879.75744857443,-1
14000,51768.59199358089,51491.25741525109,-1
15000,37556.26279880687,36447.55172599185,-1
16000,56685.584281613454,55844.368184670995,-1
17000,71751.06736663762,71028.24270774526,-1
18000,16891.119491283338,17335.697713148948,-1
19000,27343.24239926976,28836.678930910373,-1
20000,17826.9914336355,19161.07824092928,-1
21000,13474.132126882132,13306.723172116283,-1
22000,18676.283389427645,18787.43812680778,1
23000,39168.12114424533,37872.83172205778,-1
24000,201023.11091421155,194217.6683737161,-1
25000,147103.59954109965,151555.17022997478,-1
26000,64590.57104395914,64419.60000482914,-1
27000,32634.22221618585,35157.2255548093,-1
28000,156462.30632412797,155833.79799955012,-1
29000,66184.56801659917,65741.37065801413,-1
30000,119538.3522954349,122817.2326847936,-1
31000,65671.65515084569,66063.82464691746,-1
32000,35072.85505491411,36137.14890169598,-1
33000,63541.09234797675,63155.294644187925,-1
34000,26457.725032926202,25862.96759807062,-1
35000,11597.400447969881,11701.470314679955,-1
36000,11102.04001629637,11149.804930478682,1
37000,10394.257482294619,10257.811650607558,-1
38000,10279.716083850048,10247.084860694551,1
39000,10704.708010408605,10490.991395432517,-1
40000,12770.65462069753,12764.868963740557,-1
41000,16220.900205170448,16084.853456948113,-1
42000,22975.263148719696,23908.568042550964,-1
43000,43883.95611010759,44873.829347908446,-1
44000,16520.848198212265,17362.82384497799,-1
45000,33818.76393764016,33724.921300562346,-1
46000,38688.02218269394,39613.59009657392,-1
47000,27630.920474312967,28059.123572937027,-1
48000,51098.4273063085,50822.696427159295,-1
49000,73899.97365959262,74545.56661266413,-1
50000,22984.423845029785,22973.300682017092,-1
51000,20922.2925460374,21831.03078293629,-1
52000,20311.104908239664,20513.017656846107,-1
53000,19404.826192539724,19253.645958204088,-1
54000,12165.627677185163,12047.954698527205,-1
55000,13819.521137050055,13868.31029953083,-1
56000,22995.4285068817,22978.68824174982,-1
57000,36056.30002759932,36792.28373484488,-1
58000,74506.01336531647,74279.79072936463,-1
59000,64913.30070371353,65311.68255135053,-1
60000,40155.423626710326,40402.58382436033,-1
61000,37082.52176405298,37811.463474154676,-1
62000,109747.22472920213,111920.3746163954,-1
63000,36513.89286728877,40207.8039553448,-1
64000,44237.510757254735,43915.73706674501,-1
65000,63562.46260717447,64849.63225294734,-1
66000,30097.91106764434,31796.96962462707,-1
67000,30380.645711878296,32230.600104239784,-1
68000,18791.224311245674,19654.7140991712,-1
69000,19165.984980676203,19524.711970698296,-1
70000,13456.09981671859,13456.09981671859,0
71000,13528.588467593827,13515.669532811682,-1
72000,14898.408064937199,14880.243308144241,-1
73000,32536.696060040154,33075.62158967152,-1
74000,45345.892596945676,45333.26336389324,-1
75000,40576.23149044009,40476.43793574368,-1
76000,28286.74035783605,28908.943969083557,-1
77000,69623.91475349016,71310.02748476289,-1
78000,49598.72848995367,49429.455858477064,-1
79000,54911.05419545388,55002.54312115151,-1
80000,44300.771983002356,44843.58766811865,-1
81000,41362.33241361179,41023.238967641126,-1
82000,22711.043153042483,22647.473108760634,-1
83000,22295.356436667644,22283.04559235324,-1
84000,25517.189646188617,26512.815960567463,-1
85000,11884.395214176995,12142.284012374706,-1
86000,14442.223977255648,14638.707370938211,-1
87000,18392.555665334057,18392.555665334057,0
88000,13602.460184195228,13531.314856226165,-1
89000,42362.76271935734,42257.67156341995,-1
90000,57907.63048040029,57876.29599970443,-1
91000,48676.09460137268,46695.05054765325,-1
92000,23889.270007792893,24061.335745185097,-1
93000,49967.044267841615,49519.31682422841,-1
94000,35519.874271508386,35408.39231328141,-1
95000,35189.82525735174,34586.285226391556,-1
96000,48014.876061657196,48415.62905125516,-1
97000,50356.059157192954,51173.26281509976,-1
98000,19069.404650353747,19515.15162191516,-1
99000,19600.77569572097,18951.31273787491,-1
100000,23006.925709187835,22248.722406018034,-1
101000,11102.342240658116,11135.756825903294,-1
102000,10867.579626205374,10669.66083870252,-1
103000,15583.490216702374,15583.490216702374,0
104000,24580.813440594786,24230.878261054535,-1
105000,27077.06745871696,27040.919686432386,-1
106000,66346.52199279358,66401.45719633988,-1
107000,55769.67586880696,54562.97507298341,-1
108000,49659.38554477816,49517.84585654447,-1
109000,21577.13591606874,21960.060963231135,-1
110000,100215.2666155665,96750.15808168967,-1
111000,47953.76541286733,48543.577872675014,-1
112000,51180.52596015335,50652.581383933,-1
113000,80584.7688640965,79876.92566875303,-1
114000,48189.50364786489,49593.13098725904,-1
115000,31034.18701012278,30762.27659876215,-1
116000,28481.2910830912,28236.95763309367,-1
117000,18559.50120906704,18596.409647325814,-1
118000,12679.429712694591,12697.343061229216,1
119000,16979.609006670686,16979.609006670686,0
120000,11974.716654028063,12003.742639283852,-1
121000,37481.09606985423,37474.297708428436,1
122000,45196.419143618295,45177.41672029866,-1
123000,46255.21681394625,46144.794559114336,-1
124000,26983.084701139793,27435.460090361415,-1
125000,46460.22339955235,47932.319405697875,-1
126000,51535.29729049773,50699.6351492072,-1
127000,35014.45595003386,35225.172852541924,-1
128000,48523.31001115051,48413.51823359677,-1
129000,35435.780910986156,35444.4717824775,-1
130000,20623.513668392778,20912.630754401296,-1
131000,20607.715980908455,21166.030095834998,-1
132000,30510.010628866974,29812.516864850433,-1
133000,14203.478471523777,14689.307318749783,-1
134000,12405.89177616705,12458.398920585283,1
135000,16973.888593404074,16956.845339152318,-1
136000,13998.899118299814,14604.290590884642,-1
137000,48312.84816449585,48279.521117012984,-1
138000,104849.39357988634,104533.25446085686,-1
139000,96542.19346806461,96475.92086230134,-1
140000,37392.496914642594,37198.448186063426,-1
141000,85312.9476117422,85178.75837412168,-1
142000,82348.63533962826,79006.3867045129,-1
143000,39323.687253007636,39157.583143869524,-1
144000,74689.73698220706,74023.43380190598,-1
145000,63150.89538159808,63297.71974961905,-1
146000,24042.70863877827,25523.987527468067,-1
147000,16974.443090771438,17671.793867383134,-1
148000,31873.949706935793,31765.310826516685,-1
149000,15874.031062123044,16674.27057125874,-1
150000,12668.359168337189,13208.825920414683,-1
